Index,Original_Index,Num_c,SMILES,SMILES_Salt,Halide_Type
63,32,9,CCCC[N+](C)(C)CCC,CCCC[N+](C)(C)CCC.[Br-],Bromide
64,32,9,CCCC[N+](C)(C)CCC,CCCC[N+](C)(C)CCC.[Cl-],Chloride
65,33,9,CCCC[N+](C)(CC)CC,CCCC[N+](C)(CC)CC.[Br-],Bromide
66,33,9,CCCC[N+](C)(CC)CC,CCCC[N+](C)(CC)CC.[Cl-],Chloride
67,34,9,CCC[N+](C)(C)C(C)(C)C,CCC[N+](C)(C)C(C)(C)C.[Br-],Bromide
68,34,9,CCC[N+](C)(C)C(C)(C)C,CCC[N+](C)(C)C(C)(C)C.[Cl-],Chloride
69,35,9,CCC[N+](C)(C)CC(C)C,CCC[N+](C)(C)CC(C)C.[Br-],Bromide
70,35,9,CCC[N+](C)(C)CC(C)C,CCC[N+](C)(C)CC(C)C.[Cl-],Chloride
71,36,9,CCC[N+](C)(CC)C(C)C,CCC[N+](C)(CC)C(C)C.[Br-],Bromide
72,36,9,CCC[N+](C)(CC)C(C)C,CCC[N+](C)(CC)C(C)C.[Cl-],Chloride
73,37,9,CCC[N+](C)(CC)CCC,CCC[N+](C)(CC)CCC.[Br-],Bromide
74,37,9,CCC[N+](C)(CC)CCC,CCC[N+](C)(CC)CCC.[Cl-],Chloride
75,38,9,CCC[N+](CC)(CC)CC,CCC[N+](CC)(CC)CC.[Br-],Bromide
76,38,9,CCC[N+](CC)(CC)CC,CCC[N+](CC)(CC)CC.[Cl-],Chloride
77,39,9,CC[N+](C)(C(C)C)C(C)C,CC[N+](C)(C(C)C)C(C)C.[Br-],Bromide
78,39,9,CC[N+](C)(C(C)C)C(C)C,CC[N+](C)(C(C)C)C(C)C.[Cl-],Chloride
79,40,9,CC[N+](C)(C)CCC(C)C,CC[N+](C)(C)CCC(C)C.[Br-],Bromide
80,40,9,CC[N+](C)(C)CCC(C)C,CC[N+](C)(C)CCC(C)C.[Cl-],Chloride
81,41,9,CC[N+](C)(CC)C(C)(C)C,CC[N+](C)(CC)C(C)(C)C.[Br-],Bromide
82,41,9,CC[N+](C)(CC)C(C)(C)C,CC[N+](C)(CC)C(C)(C)C.[Cl-],Chloride
83,42,9,CC[N+](C)(CC)CC(C)C,CC[N+](C)(CC)CC(C)C.[Br-],Bromide
84,42,9,CC[N+](C)(CC)CC(C)C,CC[N+](C)(CC)CC(C)C.[Cl-],Chloride
85,43,9,CC[N+](CC)(CC)C(C)C,CC[N+](CC)(CC)C(C)C.[Br-],Bromide
86,43,9,CC[N+](CC)(CC)C(C)C,CC[N+](CC)(CC)C(C)C.[Cl-],Chloride
87,44,10,CC(C)(C)[N+](C)(C)C(C)(C)C,CC(C)(C)[N+](C)(C)C(C)(C)C.[Br-],Bromide
88,44,10,CC(C)(C)[N+](C)(C)C(C)(C)C,CC(C)(C)[N+](C)(C)C(C)(C)C.[Cl-],Chloride
89,45,10,CC(C)CC[N+](C)(C)C(C)C,CC(C)CC[N+](C)(C)C(C)C.[Br-],Bromide
90,45,10,CC(C)CC[N+](C)(C)C(C)C,CC(C)CC[N+](C)(C)C(C)C.[Cl-],Chloride
91,46,10,CC(C)C[N+](C)(C)C(C)(C)C,CC(C)C[N+](C)(C)C(C)(C)C.[Br-],Bromide
92,46,10,CC(C)C[N+](C)(C)C(C)(C)C,CC(C)C[N+](C)(C)C(C)(C)C.[Cl-],Chloride
93,47,10,CC(C)C[N+](C)(C)CC(C)C,CC(C)C[N+](C)(C)CC(C)C.[Br-],Bromide
94,47,10,CC(C)C[N+](C)(C)CC(C)C,CC(C)C[N+](C)(C)CC(C)C.[Cl-],Chloride
95,48,10,CC(C)[N+](C)(C(C)C)C(C)C,CC(C)[N+](C)(C(C)C)C(C)C.[Br-],Bromide
96,48,10,CC(C)[N+](C)(C(C)C)C(C)C,CC(C)[N+](C)(C(C)C)C(C)C.[Cl-],Chloride
97,49,10,CCC(C)C[N+](C)(C)C(C)C,CCC(C)C[N+](C)(C)C(C)C.[Br-],Bromide
98,49,10,CCC(C)C[N+](C)(C)C(C)C,CCC(C)C[N+](C)(C)C(C)C.[Cl-],Chloride
99,51,10,CCCC(C)[N+](C)(C)C(C)C,CCCC(C)[N+](C)(C)C(C)C.[Br-],Bromide
100,51,10,CCCC(C)[N+](C)(C)C(C)C,CCCC(C)[N+](C)(C)C(C)C.[Cl-],Chloride
101,52,10,CCCC(C)[N+](C)(C)CCC,CCCC(C)[N+](C)(C)CCC.[Br-],Bromide
102,52,10,CCCC(C)[N+](C)(C)CCC,CCCC(C)[N+](C)(C)CCC.[Cl-],Chloride
103,53,10,CCCC(C)[N+](C)(CC)CC,CCCC(C)[N+](C)(CC)CC.[Br-],Bromide
104,53,10,CCCC(C)[N+](C)(CC)CC,CCCC(C)[N+](C)(CC)CC.[Cl-],Chloride
105,54,10,CCCCCCC[N+](C)(C)C,CCCCCCC[N+](C)(C)C.[Br-],Bromide
106,54,10,CCCCCCC[N+](C)(C)C,CCCCCCC[N+](C)(C)C.[Cl-],Chloride
107,55,10,CCCCCC[N+](C)(C)CC,CCCCCC[N+](C)(C)CC.[Br-],Bromide
108,55,10,CCCCCC[N+](C)(C)CC,CCCCCC[N+](C)(C)CC.[Cl-],Chloride
109,56,10,CCCCC[N+](C)(C)C(C)C,CCCCC[N+](C)(C)C(C)C.[Br-],Bromide
110,56,10,CCCCC[N+](C)(C)C(C)C,CCCCC[N+](C)(C)C(C)C.[Cl-],Chloride
111,57,10,CCCCC[N+](C)(C)CCC,CCCCC[N+](C)(C)CCC.[Br-],Bromide
112,57,10,CCCCC[N+](C)(C)CCC,CCCCC[N+](C)(C)CCC.[Cl-],Chloride
113,58,10,CCCCC[N+](C)(CC)CC,CCCCC[N+](C)(CC)CC.[Br-],Bromide
114,58,10,CCCCC[N+](C)(CC)CC,CCCCC[N+](C)(CC)CC.[Cl-],Chloride
115,59,10,CCCC[N+](C)(C)C(C)(C)C,CCCC[N+](C)(C)C(C)(C)C.[Br-],Bromide
116,59,10,CCCC[N+](C)(C)C(C)(C)C,CCCC[N+](C)(C)C(C)(C)C.[Cl-],Chloride
117,60,10,CCCC[N+](C)(C)CC(C)C,CCCC[N+](C)(C)CC(C)C.[Br-],Bromide
118,60,10,CCCC[N+](C)(C)CC(C)C,CCCC[N+](C)(C)CC(C)C.[Cl-],Chloride
119,61,10,CCCC[N+](C)(C)CCCC,CCCC[N+](C)(C)CCCC.[Br-],Bromide
120,61,10,CCCC[N+](C)(C)CCCC,CCCC[N+](C)(C)CCCC.[Cl-],Chloride
121,62,10,CCCC[N+](C)(CC)C(C)C,CCCC[N+](C)(CC)C(C)C.[Br-],Bromide
122,62,10,CCCC[N+](C)(CC)C(C)C,CCCC[N+](C)(CC)C(C)C.[Cl-],Chloride
123,63,10,CCCC[N+](C)(CC)CCC,CCCC[N+](C)(CC)CCC.[Br-],Bromide
124,63,10,CCCC[N+](C)(CC)CCC,CCCC[N+](C)(CC)CCC.[Cl-],Chloride
125,64,10,CCCC[N+](CC)(CC)CC,CCCC[N+](CC)(CC)CC.[Br-],Bromide
126,64,10,CCCC[N+](CC)(CC)CC,CCCC[N+](CC)(CC)CC.[Cl-],Chloride
127,65,10,CCC[N+](C)(C(C)C)C(C)C,CCC[N+](C)(C(C)C)C(C)C.[Br-],Bromide
128,65,10,CCC[N+](C)(C(C)C)C(C)C,CCC[N+](C)(C(C)C)C(C)C.[Cl-],Chloride
129,66,10,CCC[N+](C)(C)CC(C)CC,CCC[N+](C)(C)CC(C)CC.[Br-],Bromide
130,66,10,CCC[N+](C)(C)CC(C)CC,CCC[N+](C)(C)CC(C)CC.[Cl-],Chloride
131,67,10,CCC[N+](C)(C)CCC(C)C,CCC[N+](C)(C)CCC(C)C.[Br-],Bromide
