Index,Num_c,SMILES,CID,MolecularFormula,MolecularWeight,IUPACName,XLogP,Complexity,RotatableBondCount,HeavyAtomCount,Bromide_CAS,Chloride_CAS
101,15,CCCCCCCCC[N+](CC)(CC)CC,2249305,C15H34N+,228.44,triethyl(nonyl)azanium,5.3,130,11,16,13028-74-5,104513-50-0
102,15,CCCCCCCC[N+](C)(C)CCCCC,71346400,C15H34N+,228.44,dimethyl-octyl-pentylazanium,5.5,140,11,16,,151645-62-4
116,15,CCCCCC[N+](CCC)(CCC)CCC,20376280,C15H34N+,228.44,hexyl(tripropyl)azanium,5.3,125,11,16,61175-78-8,1384116-44-2
121,15,CCCC[N+](CCC)(CCCC)CCCC,5248503,C15H34N+,228.44,tributyl(propyl)azanium,4.9,121,11,16,36477-16-4,
122,16,CCCCCCCCCCCCC[N+](C)(C)C,11484094,C16H36N+,242.46,trimethyl(tridecyl)azanium,6.4,146,12,17,,19727-46-9
123,16,CCCCCCCCCCCC[N+](C)(C)CC,62471,C16H36N+,242.46,dodecyl-ethyl-dimethylazanium,6.2,152,12,17,68207-00-1,1001-66-7
126,16,CCCCCCCCCC[N+](C)(C)CCCC,57255541,C16H36N+,242.46,butyl-decyl-dimethylazanium,6.0,152,12,17,187731-25-5,
128,16,CCCCCCCCCC[N+](CC)(CC)CC,9835339,C16H36N+,242.46,decyl(triethyl)azanium,5.9,141,12,17,5090-03-9,38443-60-6
133,16,CCCCCCCC[N+](C)(C)CCCCCC,44630345,C16H36N+,242.46,hexyl-dimethyl-octylazanium,6.0,152,12,17,"680-033-0, 187731-26-6",122032-50-2
138,16,CCCCCCC[N+](C)(C)CCCCCCC,17912687,C16H36N+,242.46,diheptyl(dimethyl)azanium,6.0,136,12,17,187731-22-2,106128-47-6
144,16,CCCCCCC[N+](CCC)(CCC)CCC,20266119,C16H36N+,242.46,heptyl(tripropyl)azanium,5.8,137,12,17,187731-24-4,
147,16,CCCCCC[N+](CC)(CC)CCCCCC,20092195,C16H36N+,242.46,diethyl(dihexyl)azanium,5.7,136,12,17,75174-76-4,
155,16,CCCC[N+](CCCC)(CCCC)CCCC,16028,C16H36N+,242.46,tetrabutylazanium,5.3,116,12,17,"1643-19-2, 216-699-2","1112-67-0, 214-195-7"
156,17,CCCCCCCCCCCCCC[N+](C)(C)C,14251,C17H38N+,256.5,trimethyl(tetradecyl)azanium,7.0,157,13,18,"1119-97-7, 214-291-9, 8044-71-1","4574-04-3, 224-958-6"
158,17,CCCCCCCCCCCC[N+](C)(C)CCC,10786192,C17H38N+,256.5,dodecyl-dimethyl-propylazanium,6.8,163,13,18,29481-57-0,29481-56-9
159,17,CCCCCCCCCCCC[N+](C)(CC)CC,14494908,C17H38N+,256.5,dodecyl-diethyl-methylazanium,6.6,161,13,18,94036-11-0,98342-48-4
162,17,CCCCCCCCCCC[N+](CC)(CC)CC,11701609,C17H38N+,256.5,triethyl(undecyl)azanium,6.4,153,13,18,40879-55-8,2025330-02-1
165,17,CCCCCCCCCC[N+](C)(CCC)CCC,127262909,C17H38N+,256.5,decyl-methyl-dipropylazanium,6.6,159,13,18,1555584-55-8,1555584-57-0
172,17,CCCCCCCC[N+](C)(C)CCCCCCC,53805370,C17H38N+,256.5,heptyl-dimethyl-octylazanium,6.6,163,13,18,78129-81-4,
175,17,CCCCCCCC[N+](C)(CCCC)CCCC,127262900,C17H38N+,256.5,dibutyl-methyl-octylazanium,6.2,157,13,18,857157-79-0,
178,17,CCCCCCCC[N+](CCC)(CCC)CCC,54170758,C17H38N+,256.5,octyl(tripropyl)azanium,6.4,148,13,18,61175-79-9,
192,17,CCCCC[N+](CC)(CCCCC)CCCCC,14022639,C17H38N+,256.5,ethyl(tripentyl)azanium,6.0,138,13,18,,1624317-15-2
194,17,CCCCC[N+](CCCC)(CCCC)CCCC,3528502,C17H38N+,256.5,tributyl(pentyl)azanium,5.8,143,13,18,"253-314-7, 37026-92-9",916772-26-4
195,18,CCCCCCCCCCCCCCC[N+](C)(C)C,423584,C18H40N+,270.5,trimethyl(pentadecyl)azanium,7.5,169,14,19,21424-22-6,73163-54-9
196,18,CCCCCCCCCCCCCC[N+](C)(C)CC,110474,C18H40N+,270.5,ethyl-dimethyl-tetradecylazanium,7.3,175,14,19,"271-290-6, 68527-84-4",
199,18,CCCCCCCCCCCC[N+](C)(C)CCCC,407819,C18H40N+,270.5,butyl-dodecyl-dimethylazanium,7.1,175,14,19,29481-60-5,29481-59-2
201,18,CCCCCCCCCCCC[N+](CC)(CC)CC,28940,C18H40N+,270.5,dodecyl(triethyl)azanium,7.0,164,14,19,18186-71-5,23358-96-5
217,18,CCCCCCCCC[N+](CCC)(CCC)CCC,22408878,C18H40N+,270.5,nonyl(tripropyl)azanium,6.9,160,14,19,57412-88-1,
218,18,CCCCCCCC[N+](C)(C)CCCCCCCC,62582,C18H40N+,270.5,dimethyl(dioctyl)azanium,7.1,157,14,19,"221-189-8, 3026-69-5","5538-94-3, 226-901-0"
239,18,CCCCCC[N+](CCCC)(CCCC)CCCC,19858518,C18H40N+,270.5,tributyl(hexyl)azanium,6.4,155,14,19,37026-90-7,
240,18,CCCCC[N+](CCC)(CCCCC)CCCCC,14022636,C18H40N+,270.5,tripentyl(propyl)azanium,6.6,150,14,19,102394-41-2,
241,18,CCCCC[N+](CCCC)(CCCC)CCCCC,87534260,C18H40N+,270.5,dibutyl(dipentyl)azanium,6.4,157,14,19,897665-05-3,
242,19,CCCCCCCCCCCCCCCC[N+](C)(C)C,2681,C19H42N+,284.5,hexadecyl(trimethyl)azanium,8.0,181,15,20,"57-09-0, 200-311-3, 347841-42-3","112-02-7, 203-928-6"
289,19,CCCCCCC[N+](CCCC)(CCCC)CCCC,5003685,C19H42N+,284.5,tributyl(heptyl)azanium,6.9,166,15,20,"85169-31-9, 285-974-7",
290,19,CCCCCC[N+](C)(CCCCCC)CCCCCC,11783458,C19H42N+,284.5,trihexyl(methyl)azanium,7.3,157,15,20,2390-64-9,
296,20,CCCCCCCCCCCCCCCC[N+](C)(C)CC,31281,C20H44N+,298.6,ethyl-hexadecyl-dimethylazanium,8.4,198,16,21,"124-03-8, 204-672-8",13264-41-0
301,20,CCCCCCCCCCCCCC[N+](CC)(CC)CC,28911,C20H44N+,298.6,triethyl(tetradecyl)azanium,8.0,188,16,21,18144-35-9,
318,20,CCCCCCCCCC[N+](C)(C)CCCCCCCC,61907,C20H44N+,298.6,decyl-dimethyl-octylazanium,8.2,198,16,21,138416-93-0,"32426-11-2, 251-035-5"
326,20,CCCCCCCCC[N+](C)(C)CCCCCCCCC,19706495,C20H44N+,298.6,dimethyl-di(nonyl)azanium,8.2,178,16,21,861885-77-0,23375-64-6
339,20,CCCCCCCC[N+](CC)(CC)CCCCCCCC,19602104,C20H44N+,298.6,diethyl(dioctyl)azanium,7.8,178,16,21,94036-13-2,
345,20,CCCCCCCC[N+](CCCC)(CCCC)CCCC,408233,C20H44N+,298.6,tributyl(octyl)azanium,7.9,178,16,21,61175-80-2,
354,20,CCCCCC[N+](CC)(CCCCCC)CCCCCC,14022641,C20H44N+,298.6,ethyl(trihexyl)azanium,7.6,169,16,21,61175-73-3,
358,20,CCCCC[N+](CCCCC)(CCCCC)CCCCC,17249,C20H44N+,298.6,tetrapentylazanium,7.4,155,16,21,"866-97-7, 212-756-0","4965-17-7, 225-606-4"
