Index,Num_c,SMILES
130,16,CCCCCCCCC[N+](C)(CC)CCCC
131,16,CCCCCCCCC[N+](C)(CCC)CCC
132,16,CCCCCCCCC[N+](CC)(CC)CCC
133,16,CCCCCCCC[N+](C)(C)CCCCCC
134,16,CCCCCCCC[N+](C)(CC)CCCCC
135,16,CCCCCCCC[N+](C)(CCC)CCCC
136,16,CCCCCCCC[N+](CC)(CC)CCCC
137,16,CCCCCCCC[N+](CC)(CCC)CCC
138,16,CCCCCCC[N+](C)(C)CCCCCCC
139,16,CCCCCCC[N+](C)(CC)CCCCCC
140,16,CCCCCCC[N+](C)(CCC)CCCCC
141,16,CCCCCCC[N+](C)(CCCC)CCCC
142,16,CCCCCCC[N+](CC)(CC)CCCCC
143,16,CCCCCCC[N+](CC)(CCC)CCCC
144,16,CCCCCCC[N+](CCC)(CCC)CCC
145,16,CCCCCC[N+](C)(CCC)CCCCCC
146,16,CCCCCC[N+](C)(CCCC)CCCCC
147,16,CCCCCC[N+](CC)(CC)CCCCCC
148,16,CCCCCC[N+](CC)(CCC)CCCCC
149,16,CCCCCC[N+](CC)(CCCC)CCCC
150,16,CCCCCC[N+](CCC)(CCC)CCCC
151,16,CCCCC[N+](C)(CCCCC)CCCCC
152,16,CCCCC[N+](CC)(CCCC)CCCCC
153,16,CCCCC[N+](CCC)(CCC)CCCCC
154,16,CCCCC[N+](CCC)(CCCC)CCCC
155,16,CCCC[N+](CCCC)(CCCC)CCCC
156,17,CCCCCCCCCCCCCC[N+](C)(C)C
157,17,CCCCCCCCCCCCC[N+](C)(C)CC
158,17,CCCCCCCCCCCC[N+](C)(C)CCC
159,17,CCCCCCCCCCCC[N+](C)(CC)CC
160,17,CCCCCCCCCCC[N+](C)(C)CCCC
161,17,CCCCCCCCCCC[N+](C)(CC)CCC
162,17,CCCCCCCCCCC[N+](CC)(CC)CC
163,17,CCCCCCCCCC[N+](C)(C)CCCCC
164,17,CCCCCCCCCC[N+](C)(CC)CCCC
165,17,CCCCCCCCCC[N+](C)(CCC)CCC
166,17,CCCCCCCCCC[N+](CC)(CC)CCC
167,17,CCCCCCCCC[N+](C)(C)CCCCCC
168,17,CCCCCCCCC[N+](C)(CC)CCCCC
169,17,CCCCCCCCC[N+](C)(CCC)CCCC
170,17,CCCCCCCCC[N+](CC)(CC)CCCC
171,17,CCCCCCCCC[N+](CC)(CCC)CCC
172,17,CCCCCCCC[N+](C)(C)CCCCCCC
173,17,CCCCCCCC[N+](C)(CC)CCCCCC
174,17,CCCCCCCC[N+](C)(CCC)CCCCC
175,17,CCCCCCCC[N+](C)(CCCC)CCCC
176,17,CCCCCCCC[N+](CC)(CC)CCCCC
177,17,CCCCCCCC[N+](CC)(CCC)CCCC
178,17,CCCCCCCC[N+](CCC)(CCC)CCC
179,17,CCCCCCC[N+](C)(CC)CCCCCCC
180,17,CCCCCCC[N+](C)(CCC)CCCCCC
181,17,CCCCCCC[N+](C)(CCCC)CCCCC
182,17,CCCCCCC[N+](CC)(CC)CCCCCC
183,17,CCCCCCC[N+](CC)(CCC)CCCCC
184,17,CCCCCCC[N+](CC)(CCCC)CCCC
185,17,CCCCCCC[N+](CCC)(CCC)CCCC
186,17,CCCCCC[N+](C)(CCCC)CCCCCC
187,17,CCCCCC[N+](C)(CCCCC)CCCCC
188,17,CCCCCC[N+](CC)(CCC)CCCCCC
189,17,CCCCCC[N+](CC)(CCCC)CCCCC
190,17,CCCCCC[N+](CCC)(CCC)CCCCC
191,17,CCCCCC[N+](CCC)(CCCC)CCCC
192,17,CCCCC[N+](CC)(CCCCC)CCCCC
193,17,CCCCC[N+](CCC)(CCCC)CCCCC
194,17,CCCCC[N+](CCCC)(CCCC)CCCC
195,18,CCCCCCCCCCCCCCC[N+](C)(C)C
196,18,CCCCCCCCCCCCCC[N+](C)(C)CC
197,18,CCCCCCCCCCCCC[N+](C)(C)CCC
