Index,Num_c,SMILES,smiles,exists,cid,name,molecular_weight
46,10,CC(C)C[N+](C)(C)C(C)(C)C,CC(C)C[N+](C)(C)C(C)(C)C,True,22044330.0,tert-butyl-dimethyl-(2-methylpropyl)azanium,158.3
47,10,CC(C)C[N+](C)(C)CC(C)C,CC(C)C[N+](C)(C)CC(C)C,True,12446313.0,dimethyl-bis(2-methylpropyl)azanium,158.3
48,10,CC(C)[N+](C)(C(C)C)C(C)C,CC(C)[N+](C)(C(C)C)C(C)C,True,11197425.0,methyl-tri(propan-2-yl)azanium,158.3
49,10,CCC(C)C[N+](C)(C)C(C)C,CCC(C)C[N+](C)(C)C(C)C,True,123882016.0,dimethyl-(2-methylbutyl)-propan-2-ylazanium,158.3
50,10,CCC(C)C[N+](C)(CC)CC,CCC(C)C[N+](C)(CC)CC,True,,,
51,10,CCCC(C)[N+](C)(C)C(C)C,CCCC(C)[N+](C)(C)C(C)C,True,170232598.0,dimethyl-pentan-2-yl-propan-2-ylazanium,158.3
52,10,CCCC(C)[N+](C)(C)CCC,CCCC(C)[N+](C)(C)CCC,True,123787174.0,dimethyl-pentan-2-yl-propylazanium,158.3
53,10,CCCC(C)[N+](C)(CC)CC,CCCC(C)[N+](C)(CC)CC,True,152122120.0,diethyl-methyl-pentan-2-ylazanium,158.3
54,10,CCCCCCC[N+](C)(C)C,CCCCCCC[N+](C)(C)C,True,30142.0,heptyl(trimethyl)azanium,158.3
55,10,CCCCCC[N+](C)(C)CC,CCCCCC[N+](C)(C)CC,True,11593475.0,ethyl-hexyl-dimethylazanium,158.3
56,10,CCCCC[N+](C)(C)C(C)C,CCCCC[N+](C)(C)C(C)C,True,123262460.0,dimethyl-pentyl-propan-2-ylazanium,158.3
57,10,CCCCC[N+](C)(C)CCC,CCCCC[N+](C)(C)CCC,True,23088871.0,dimethyl-pentyl-propylazanium,158.3
58,10,CCCCC[N+](C)(CC)CC,CCCCC[N+](C)(CC)CC,True,23088876.0,diethyl-methyl-pentylazanium,158.3
