Index,Num_c,SMILES
001,4,C[N+](C)(C)C
002,5,CC[N+](C)(C)C
003,6,CC(C)[N+](C)(C)C
004,6,CCC[N+](C)(C)C
005,6,CC[N+](C)(C)CC
006,7,CC(C)(C)[N+](C)(C)C
007,7,CC(C)C[N+](C)(C)C
008,7,CCCC[N+](C)(C)C
009,7,CCC[N+](C)(C)CC
010,7,CC[N+](C)(C)C(C)C
011,7,CC[N+](C)(CC)CC
012,8,CC(C)[N+](C)(C)C(C)C
013,8,CCCCC[N+](C)(C)C
014,8,CCCC[N+](C)(C)CC
015,8,CCC[N+](C)(C)C(C)C
016,8,CCC[N+](C)(C)CCC
017,8,CCC[N+](C)(CC)CC
018,8,CC[N+](C)(C)C(C)(C)C
019,8,CC[N+](C)(C)CC(C)C
020,8,CC[N+](C)(CC)C(C)C
021,8,CC[N+](CC)(CC)CC
022,9,CC(C)C[N+](C)(C)C(C)C
023,9,CC(C)[N+](C)(C)C(C)(C)C
024,9,CCCCCC[N+](C)(C)C
025,9,CCCCC[N+](C)(C)CC
026,9,CCCC[N+](C)(C)C(C)C
027,9,CCCC[N+](C)(C)CCC
028,9,CCCC[N+](C)(CC)CC
029,9,CCC[N+](C)(C)C(C)(C)C
030,9,CCC[N+](C)(C)CC(C)C
031,9,CCC[N+](C)(CC)C(C)C
032,9,CCC[N+](C)(CC)CCC
033,9,CCC[N+](CC)(CC)CC
034,9,CC[N+](C)(C(C)C)C(C)C
035,9,CC[N+](C)(CC)C(C)(C)C
036,9,CC[N+](C)(CC)CC(C)C
037,9,CC[N+](CC)(CC)C(C)C
038,10,CC(C)(C)[N+](C)(C)C(C)(C)C
039,10,CC(C)C[N+](C)(C)C(C)(C)C
040,10,CC(C)C[N+](C)(C)CC(C)C
041,10,CC(C)[N+](C)(C(C)C)C(C)C
042,10,CCCCCCC[N+](C)(C)C
043,10,CCCCCC[N+](C)(C)CC
044,10,CCCCC[N+](C)(C)C(C)C
045,10,CCCCC[N+](C)(C)CCC
046,10,CCCCC[N+](C)(CC)CC
047,10,CCCC[N+](C)(C)C(C)(C)C
048,10,CCCC[N+](C)(C)CC(C)C
049,10,CCCC[N+](C)(C)CCCC
050,10,CCCC[N+](C)(CC)C(C)C
051,10,CCCC[N+](C)(CC)CCC
052,10,CCCC[N+](CC)(CC)CC
053,10,CCC[N+](C)(C(C)C)C(C)C
054,10,CCC[N+](C)(CC)C(C)(C)C
055,10,CCC[N+](C)(CC)CC(C)C
056,10,CCC[N+](C)(CCC)C(C)C
057,10,CCC[N+](C)(CCC)CCC
058,10,CCC[N+](CC)(CC)C(C)C
