Index,Num_c,SMILES,cid,name,molecular_weight
63,10,CC[N+](CC)(CC)C(C)(C)C,18979420.0,tert-butyl(triethyl)azanium,158.3
64,10,CC[N+](CC)(CC)CC(C)C,13513450.0,triethyl(2-methylpropyl)azanium,158.3
65,11,CC(C)C[N+](C)(C(C)C)C(C)C,159813761.0,methyl-(2-methylpropyl)-di(propan-2-yl)azanium,172.33
66,11,CC(C)[N+](C)(C(C)C)C(C)(C)C,148579920.0,tert-butyl-methyl-di(propan-2-yl)azanium,172.33
67,11,CCCCCCC[N+](C)(C)CC,23088859.0,ethyl-heptyl-dimethylazanium,172.33
68,11,CCCCCC[N+](C)(C)C(C)C,102472160.0,hexyl-dimethyl-propan-2-ylazanium,172.33
69,11,CCCCCC[N+](C)(C)CCC,23088822.0,hexyl-dimethyl-propylazanium,172.33
70,11,CCCCCC[N+](C)(CC)CC,11672744.0,diethyl-hexyl-methylazanium,172.33
71,11,CCCCC[N+](C)(C)C(C)(C)C,88457097.0,tert-butyl-dimethyl-pentylazanium,172.33
73,11,CCCCC[N+](C)(C)CCCC,53780101.0,butyl-dimethyl-pentylazanium,172.33
75,11,CCCCC[N+](C)(CC)CCC,23088854.0,ethyl-methyl-pentyl-propylazanium,172.33
76,11,CCCCC[N+](CC)(CC)CC,152429.0,triethyl(pentyl)azanium,172.33
80,11,CCCC[N+](C)(CC)CCCC,22487000.0,dibutyl-ethyl-methylazanium,172.33
81,11,CCCC[N+](C)(CCC)C(C)C,20341245.0,butyl-methyl-propan-2-yl-propylazanium,172.33
82,11,CCCC[N+](C)(CCC)CCC,87509031.0,butyl-methyl-dipropylazanium,172.33
83,11,CCCC[N+](CC)(CC)C(C)C,87916183.0,butyl-diethyl-propan-2-ylazanium,172.33
84,11,CCCC[N+](CC)(CC)CCC,5249160.0,butyl-diethyl-propylazanium,172.33
86,11,CCC[N+](C)(CC(C)C)C(C)C,123313589.0,methyl-(2-methylpropyl)-propan-2-yl-propylazanium,172.33
89,11,CCC[N+](CC)(C(C)C)C(C)C,22044301.0,ethyl-di(propan-2-yl)-propylazanium,172.33
92,11,CCC[N+](CC)(CCC)C(C)C,22044325.0,ethyl-propan-2-yl-dipropylazanium,172.33
93,11,CCC[N+](CC)(CCC)CCC,417995.0,ethyl(tripropyl)azanium,172.33
94,11,CC[N+](C(C)C)(C(C)C)C(C)C,15533238.0,ethyl-tri(propan-2-yl)azanium,172.33
95,11,CC[N+](C)(C(C)(C)C)C(C)(C)C,141734441.0,ditert-butyl-ethyl-methylazanium,172.33
97,11,CC[N+](C)(CC(C)C)CC(C)C,85967981.0,ethyl-methyl-bis(2-methylpropyl)azanium,172.33
99,11,CC[N+](CC)(CC(C)C)C(C)C,131972499.0,diethyl-(2-methylpropyl)-propan-2-ylazanium,172.33
101,12,CC(C)C[N+](C)(CC(C)C)C(C)C,153280987.0,methyl-bis(2-methylpropyl)-propan-2-ylazanium,186.36
102,12,CC(C)[N+](C(C)C)(C(C)C)C(C)C,424922.0,tetra(propan-2-yl)azanium,186.36
103,12,CC(C)[N+](C)(C(C)(C)C)C(C)(C)C,11325002.0,ditert-butyl-methyl-propan-2-ylazanium,186.36
105,12,CCCCCCC[N+](C)(C)CCC,23088846.0,heptyl-dimethyl-propylazanium,186.36
106,12,CCCCCCC[N+](C)(CC)CC,23088836.0,diethyl-heptyl-methylazanium,186.36
107,12,CCCCCC[N+](C)(C)C(C)(C)C,141683291.0,tert-butyl-hexyl-dimethylazanium,186.36
108,12,CCCCCC[N+](C)(C)CC(C)C,148222309.0,hexyl-dimethyl-(2-methylpropyl)azanium,186.36
