Index,Num_c,SMILES,CID,MolecularFormula,MolecularWeight,IUPACName,XLogP,Complexity,RotatableBondCount,HeavyAtomCount
51,12,CCCC[N+](CC)(CC)CCCC,45730,C12H28N+,186.36,dibutyl(diethyl)azanium,3.5,95,8,13
52,12,CCCC[N+](CC)(CCC)CCC,87824094,C12H28N+,186.36,butyl-ethyl-dipropylazanium,3.7,104,8,13
53,12,CCC[N+](CCC)(CCC)CCC,9559,C12H28N+,186.36,tetrapropylazanium,3.9,80,8,13
54,13,CCCCCCCCCC[N+](C)(C)C,16389,C13H30N+,200.38,decyl(trimethyl)azanium,5.3,113,9,14
55,13,CCCCCCCCC[N+](C)(C)CC,23088850,C13H30N+,200.38,ethyl-dimethyl-nonylazanium,4.6,118,9,14
56,13,CCCCCCCC[N+](C)(C)CCC,54512768,C13H30N+,200.38,dimethyl-octyl-propylazanium,4.6,118,9,14
57,13,CCCCCCCC[N+](C)(CC)CC,23148562,C13H30N+,200.38,diethyl-methyl-octylazanium,4.4,116,9,14
58,13,CCCCCCC[N+](C)(C)CCCC,23088855,C13H30N+,200.38,butyl-heptyl-dimethylazanium,4.4,118,9,14
60,13,CCCCCCC[N+](CC)(CC)CC,14389559,C13H30N+,200.38,triethyl(heptyl)azanium,4.3,108,9,14
61,13,CCCCCC[N+](C)(C)CCCCC,23088834,C13H30N+,200.38,hexyl-dimethyl-pentylazanium,4.4,118,9,14
62,13,CCCCCC[N+](C)(CC)CCCC,57165305,C13H30N+,200.38,butyl-ethyl-hexyl-methylazanium,4.2,122,9,14
63,13,CCCCCC[N+](C)(CCC)CCC,87508855,C13H30N+,200.38,hexyl-methyl-dipropylazanium,4.4,114,9,14
64,13,CCCCCC[N+](CC)(CC)CCC,153996761,C13H30N+,200.38,diethyl-hexyl-propylazanium,4.2,116,9,14
65,13,CCCCC[N+](C)(CC)CCCCC,57048141,C13H30N+,200.38,ethyl-methyl-dipentylazanium,4.2,110,9,14
66,13,CCCCC[N+](C)(CCC)CCCC,87508327,C13H30N+,200.38,butyl-methyl-pentyl-propylazanium,4.2,122,9,14
67,13,CCCCC[N+](CC)(CC)CCCC,118020623,C13H30N+,200.38,butyl-diethyl-pentylazanium,4.1,116,9,14
68,13,CCCCC[N+](CC)(CCC)CCC,118020792,C13H30N+,200.38,ethyl-pentyl-dipropylazanium,4.2,114,9,14
69,13,CCCC[N+](C)(CCCC)CCCC,36209,C13H30N+,200.38,tributyl(methyl)azanium,4.0,98,9,14
70,13,CCCC[N+](CC)(CCC)CCCC,5257973,C13H30N+,200.38,dibutyl-ethyl-propylazanium,4.0,112,9,14
71,13,CCCC[N+](CCC)(CCC)CCC,19180,C13H30N+,200.38,butyl(tripropyl)azanium,4.2,103,9,14
72,14,CCCCCCCCCCC[N+](C)(C)C,5228566,C14H32N+,214.41,trimethyl(undecyl)azanium,5.3,124,10,15
73,14,CCCCCCCCCC[N+](C)(C)CC,9974561,C14H32N+,214.41,decyl-ethyl-dimethylazanium,5.1,129,10,15
74,14,CCCCCCCCC[N+](C)(C)CCC,54218218,C14H32N+,214.41,dimethyl-nonyl-propylazanium,5.1,129,10,15
75,14,CCCCCCCCC[N+](C)(CC)CC,157866804,C14H32N+,214.41,diethyl-methyl-nonylazanium,5.0,127,10,15
76,14,CCCCCCCC[N+](C)(C)CCCC,86022633,C14H32N+,214.41,butyl-dimethyl-octylazanium,4.9,129,10,15
78,14,CCCCCCCC[N+](CC)(CC)CC,11411485,C14H32N+,214.41,triethyl(octyl)azanium,4.8,119,10,15
79,14,CCCCCCC[N+](C)(C)CCCCC,87493941,C14H32N+,214.41,heptyl-dimethyl-pentylazanium,4.9,129,10,15
80,14,CCCCCCC[N+](C)(CC)CCCC,146418800,C14H32N+,214.41,butyl-ethyl-heptyl-methylazanium,4.8,133,10,15
83,14,CCCCCC[N+](C)(C)CCCCCC,158284,C14H32N+,214.41,dihexyl(dimethyl)azanium,4.9,115,10,15
84,14,CCCCCC[N+](C)(CC)CCCCC,87508057,C14H32N+,214.41,ethyl-hexyl-methyl-pentylazanium,4.8,133,10,15
85,14,CCCCCC[N+](C)(CCC)CCCC,87507944,C14H32N+,214.41,butyl-hexyl-methyl-propylazanium,4.8,133,10,15
86,14,CCCCCC[N+](CC)(CC)CCCC,153996762,C14H32N+,214.41,butyl-diethyl-hexylazanium,4.6,127,10,15
87,14,CCCCCC[N+](CC)(CCC)CCC,153959332,C14H32N+,214.41,ethyl-hexyl-dipropylazanium,4.8,125,10,15
88,14,CCCCC[N+](C)(CCC)CCCCC,87509148,C14H32N+,214.41,methyl-dipentyl-propylazanium,4.8,121,10,15
89,14,CCCCC[N+](C)(CCCC)CCCC,21452154,C14H32N+,214.41,dibutyl-methyl-pentylazanium,4.6,123,10,15
90,14,CCCCC[N+](CC)(CC)CCCCC,87534181,C14H32N+,214.41,diethyl(dipentyl)azanium,4.6,115,10,15
