Index,Num_c,SMILES,CID,MolecularFormula,MolecularWeight,IUPACName,XLogP,Complexity,RotatableBondCount,HeavyAtomCount
275,19,CCCCCCCC[N+](C)(CCCC)CCCCCC,71382090,C19H42N+,284.5,butyl-hexyl-methyl-octylazanium,7.3,190,15,20
277,19,CCCCCCCC[N+](CC)(CC)CCCCCCC,54251353,C19H42N+,284.5,diethyl-heptyl-octylazanium,7.3,184,15,20
280,19,CCCCCCCC[N+](CCC)(CCC)CCCCC,87493236,C19H42N+,284.5,octyl-pentyl-dipropylazanium,7.3,182,15,20
283,19,CCCCCCC[N+](C)(CCCCC)CCCCCC,175529073,C19H42N+,284.5,heptyl-hexyl-methyl-pentylazanium,7.3,190,15,20
289,19,CCCCCCC[N+](CCCC)(CCCC)CCCC,5003685,C19H42N+,284.5,tributyl(heptyl)azanium,6.9,166,15,20
290,19,CCCCCC[N+](C)(CCCCCC)CCCCCC,11783458,C19H42N+,284.5,trihexyl(methyl)azanium,7.3,157,15,20
294,19,CCCCCC[N+](CCCC)(CCCC)CCCCC,87494935,C19H42N+,284.5,dibutyl-hexyl-pentylazanium,6.9,180,15,20
295,19,CCCCC[N+](CCCC)(CCCCC)CCCCC,14022644,C19H42N+,284.5,butyl(tripentyl)azanium,6.9,162,15,20
296,20,CCCCCCCCCCCCCCCC[N+](C)(C)CC,31281,C20H44N+,298.6,ethyl-hexadecyl-dimethylazanium,8.4,198,16,21
297,20,CCCCCCCCCCCCCCC[N+](C)(C)CCC,175568559,C20H44N+,298.6,dimethyl-pentadecyl-propylazanium,8.4,198,16,21
299,20,CCCCCCCCCCCCCC[N+](C)(C)CCCC,13075676,C20H44N+,298.6,butyl-dimethyl-tetradecylazanium,8.2,198,16,21
301,20,CCCCCCCCCCCCCC[N+](CC)(CC)CC,28911,C20H44N+,298.6,triethyl(tetradecyl)azanium,8.0,188,16,21
302,20,CCCCCCCCCCCCC[N+](C)(C)CCCCC,160884159,C20H44N+,298.6,dimethyl-pentyl-tridecylazanium,8.2,198,16,21
306,20,CCCCCCCCCCCC[N+](C)(C)CCCCCC,53898943,C20H44N+,298.6,dodecyl-hexyl-dimethylazanium,8.2,198,16,21
309,20,CCCCCCCCCCCC[N+](CC)(CC)CCCC,86108924,C20H44N+,298.6,butyl-dodecyl-diethylazanium,7.8,196,16,21
310,20,CCCCCCCCCCCC[N+](CC)(CCC)CCC,54298149,C20H44N+,298.6,dodecyl-ethyl-dipropylazanium,8.0,194,16,21
311,20,CCCCCCCCCCC[N+](C)(C)CCCCCCC,122480849,C20H44N+,298.6,heptyl-dimethyl-undecylazanium,8.2,198,16,21
317,20,CCCCCCCCCCC[N+](CCC)(CCC)CCC,21869091,C20H44N+,298.6,tripropyl(undecyl)azanium,8.0,183,16,21
318,20,CCCCCCCCCC[N+](C)(C)CCCCCCCC,61907,C20H44N+,298.6,decyl-dimethyl-octylazanium,8.2,198,16,21
320,20,CCCCCCCCCC[N+](C)(CCC)CCCCCC,139745001,C20H44N+,298.6,decyl-hexyl-methyl-propylazanium,8.0,202,16,21
326,20,CCCCCCCCC[N+](C)(C)CCCCCCCCC,19706495,C20H44N+,298.6,dimethyl-di(nonyl)azanium,8.2,178,16,21
327,20,CCCCCCCCC[N+](C)(CC)CCCCCCCC,175528867,C20H44N+,298.6,ethyl-methyl-nonyl-octylazanium,8.0,202,16,21
336,20,CCCCCCCC[N+](C)(CCC)CCCCCCCC,52936837,C20H44N+,298.6,methyl-dioctyl-propylazanium,8.0,184,16,21
339,20,CCCCCCCC[N+](CC)(CC)CCCCCCCC,19602104,C20H44N+,298.6,diethyl(dioctyl)azanium,7.8,178,16,21
343,20,CCCCCCCC[N+](CCC)(CCC)CCCCCC,87492278,C20H44N+,298.6,hexyl-octyl-dipropylazanium,7.8,194,16,21
344,20,CCCCCCCC[N+](CCC)(CCCC)CCCCC,18317197,C20H44N+,298.6,butyl-octyl-pentyl-propylazanium,7.6,202,16,21
345,20,CCCCCCCC[N+](CCCC)(CCCC)CCCC,408233,C20H44N+,298.6,tributyl(octyl)azanium,7.9,178,16,21
347,20,CCCCCCC[N+](C)(CCCCCC)CCCCCC,175529579,C20H44N+,298.6,heptyl-dihexyl-methylazanium,7.8,188,16,21
350,20,CCCCCCC[N+](CCC)(CCC)CCCCCCC,87534339,C20H44N+,298.6,diheptyl(dipropyl)azanium,7.8,178,16,21
354,20,CCCCCC[N+](CC)(CCCCCC)CCCCCC,14022641,C20H44N+,298.6,ethyl(trihexyl)azanium,7.6,169,16,21
356,20,CCCCCC[N+](CCCC)(CCCC)CCCCCC,87534272,C20H44N+,298.6,dibutyl(dihexyl)azanium,7.4,178,16,21
358,20,CCCCC[N+](CCCCC)(CCCCC)CCCCC,17249,C20H44N+,298.6,tetrapentylazanium,7.4,155,16,21
