Index,Num_c,SMILES,cid,name,molecular_weight
68,13,CCCCC[N+](CC)(CCC)CCC,118020792.0,ethyl-pentyl-dipropylazanium,200.38
69,13,CCCC[N+](C)(CCCC)CCCC,36209.0,tributyl(methyl)azanium,200.38
70,13,CCCC[N+](CC)(CCC)CCCC,5257973.0,dibutyl-ethyl-propylazanium,200.38
71,13,CCCC[N+](CCC)(CCC)CCC,19180.0,butyl(tripropyl)azanium,200.38
72,14,CCCCCCCCCCC[N+](C)(C)C,5228566.0,trimethyl(undecyl)azanium,214.41
73,14,CCCCCCCCCC[N+](C)(C)CC,9974561.0,decyl-ethyl-dimethylazanium,214.41
74,14,CCCCCCCCC[N+](C)(C)CCC,54218218.0,dimethyl-nonyl-propylazanium,214.41
75,14,CCCCCCCCC[N+](C)(CC)CC,157866804.0,diethyl-methyl-nonylazanium,214.41
76,14,CCCCCCCC[N+](C)(C)CCCC,86022633.0,butyl-dimethyl-octylazanium,214.41
78,14,CCCCCCCC[N+](CC)(CC)CC,11411485.0,triethyl(octyl)azanium,214.41
79,14,CCCCCCC[N+](C)(C)CCCCC,87493941.0,heptyl-dimethyl-pentylazanium,214.41
80,14,CCCCCCC[N+](C)(CC)CCCC,146418800.0,butyl-ethyl-heptyl-methylazanium,214.41
83,14,CCCCCC[N+](C)(C)CCCCCC,158284.0,dihexyl(dimethyl)azanium,214.41
84,14,CCCCCC[N+](C)(CC)CCCCC,87508057.0,ethyl-hexyl-methyl-pentylazanium,214.41
85,14,CCCCCC[N+](C)(CCC)CCCC,87507944.0,butyl-hexyl-methyl-propylazanium,214.41
86,14,CCCCCC[N+](CC)(CC)CCCC,153996762.0,butyl-diethyl-hexylazanium,214.41
87,14,CCCCCC[N+](CC)(CCC)CCC,153959332.0,ethyl-hexyl-dipropylazanium,214.41
88,14,CCCCC[N+](C)(CCC)CCCCC,87509148.0,methyl-dipentyl-propylazanium,214.41
89,14,CCCCC[N+](C)(CCCC)CCCC,21452154.0,dibutyl-methyl-pentylazanium,214.41
90,14,CCCCC[N+](CC)(CC)CCCCC,87534181.0,diethyl(dipentyl)azanium,214.41
91,14,CCCCC[N+](CC)(CCC)CCCC,71366278.0,butyl-ethyl-pentyl-propylazanium,214.41
92,14,CCCCC[N+](CCC)(CCC)CCC,20376265.0,pentyl(tripropyl)azanium,214.41
93,14,CCCC[N+](CC)(CCCC)CCCC,44528.0,tributyl(ethyl)azanium,214.41
94,14,CCCC[N+](CCC)(CCC)CCCC,20480844.0,dibutyl(dipropyl)azanium,214.41
95,15,CCCCCCCCCCCC[N+](C)(C)C,8153.0,dodecyl(trimethyl)azanium,228.44
96,15,CCCCCCCCCCC[N+](C)(C)CC,90351725.0,ethyl-dimethyl-undecylazanium,228.44
97,15,CCCCCCCCCC[N+](C)(C)CCC,17915707.0,decyl-dimethyl-propylazanium,228.44
98,15,CCCCCCCCCC[N+](C)(CC)CC,10450839.0,decyl-diethyl-methylazanium,228.44
99,15,CCCCCCCCC[N+](C)(C)CCCC,87493295.0,butyl-dimethyl-nonylazanium,228.44
101,15,CCCCCCCCC[N+](CC)(CC)CC,2249305.0,triethyl(nonyl)azanium,228.44
102,15,CCCCCCCC[N+](C)(C)CCCCC,71346400.0,dimethyl-octyl-pentylazanium,228.44
103,15,CCCCCCCC[N+](C)(CC)CCCC,53833324.0,butyl-ethyl-methyl-octylazanium,228.44
104,15,CCCCCCCC[N+](C)(CCC)CCC,143162850.0,methyl-octyl-dipropylazanium,228.44
106,15,CCCCCCC[N+](C)(C)CCCCCC,23094264.0,heptyl-hexyl-dimethylazanium,228.44
109,15,CCCCCCC[N+](CC)(CC)CCCC,87526431.0,butyl-diethyl-heptylazanium,228.44
110,15,CCCCCCC[N+](CC)(CCC)CCC,87089434.0,ethyl-heptyl-dipropylazanium,228.44
111,15,CCCCCC[N+](C)(CC)CCCCCC,87507678.0,ethyl-dihexyl-methylazanium,228.44
112,15,CCCCCC[N+](C)(CCC)CCCCC,87507746.0,hexyl-methyl-pentyl-propylazanium,228.44
113,15,CCCCCC[N+](C)(CCCC)CCCC,23088868.0,dibutyl-hexyl-methylazanium,228.44
114,15,CCCCCC[N+](CC)(CC)CCCCC,175075511.0,diethyl-hexyl-pentylazanium,228.44
115,15,CCCCCC[N+](CC)(CCC)CCCC,153959333.0,butyl-ethyl-hexyl-propylazanium,228.44
116,15,CCCCCC[N+](CCC)(CCC)CCC,20376280.0,hexyl(tripropyl)azanium,228.44
117,15,CCCCC[N+](C)(CCCC)CCCCC,54255437.0,butyl-methyl-dipentylazanium,228.44
118,15,CCCCC[N+](CC)(CCC)CCCCC,118020676.0,ethyl-dipentyl-propylazanium,228.44
119,15,CCCCC[N+](CC)(CCCC)CCCC,118020723.0,dibutyl-ethyl-pentylazanium,228.44
120,15,CCCCC[N+](CCC)(CCC)CCCC,87492071.0,butyl-pentyl-dipropylazanium,228.44
121,15,CCCC[N+](CCC)(CCCC)CCCC,5248503.0,tributyl(propyl)azanium,228.44
122,16,CCCCCCCCCCCCC[N+](C)(C)C,11484094.0,trimethyl(tridecyl)azanium,242.46
123,16,CCCCCCCCCCCC[N+](C)(C)CC,62471.0,dodecyl-ethyl-dimethylazanium,242.46
124,16,CCCCCCCCCCC[N+](C)(C)CCC,54067909.0,dimethyl-propyl-undecylazanium,242.46
126,16,CCCCCCCCCC[N+](C)(C)CCCC,57255541.0,butyl-decyl-dimethylazanium,242.46
128,16,CCCCCCCCCC[N+](CC)(CC)CC,9835339.0,decyl(triethyl)azanium,242.46
129,16,CCCCCCCCC[N+](C)(C)CCCCC,87493818.0,dimethyl-nonyl-pentylazanium,242.46
130,16,CCCCCCCCC[N+](C)(CC)CCCC,159414620.0,butyl-ethyl-methyl-nonylazanium,242.46
133,16,CCCCCCCC[N+](C)(C)CCCCCC,44630345.0,hexyl-dimethyl-octylazanium,242.46
134,16,CCCCCCCC[N+](C)(CC)CCCCC,123637971.0,ethyl-methyl-octyl-pentylazanium,242.46
135,16,CCCCCCCC[N+](C)(CCC)CCCC,141640656.0,butyl-methyl-octyl-propylazanium,242.46
136,16,CCCCCCCC[N+](CC)(CC)CCCC,127262847.0,butyl-diethyl-octylazanium,242.46
138,16,CCCCCCC[N+](C)(C)CCCCCCC,17912687.0,diheptyl(dimethyl)azanium,242.46
139,16,CCCCCCC[N+](C)(CC)CCCCCC,175528723.0,ethyl-heptyl-hexyl-methylazanium,242.46
140,16,CCCCCCC[N+](C)(CCC)CCCCC,71382092.0,heptyl-methyl-pentyl-propylazanium,242.46
141,16,CCCCCCC[N+](C)(CCCC)CCCC,150372540.0,dibutyl-heptyl-methylazanium,242.46
144,16,CCCCCCC[N+](CCC)(CCC)CCC,20266119.0,heptyl(tripropyl)azanium,242.46
145,16,CCCCCC[N+](C)(CCC)CCCCCC,58935187.0,dihexyl-methyl-propylazanium,242.46
146,16,CCCCCC[N+](C)(CCCC)CCCCC,87508904.0,butyl-hexyl-methyl-pentylazanium,242.46
147,16,CCCCCC[N+](CC)(CC)CCCCCC,20092195.0,diethyl(dihexyl)azanium,242.46
149,16,CCCCCC[N+](CC)(CCCC)CCCC,151792739.0,dibutyl-ethyl-hexylazanium,242.46
150,16,CCCCCC[N+](CCC)(CCC)CCCC,23088825.0,butyl-hexyl-dipropylazanium,242.46
151,16,CCCCC[N+](C)(CCCCC)CCCCC,13767188.0,methyl(tripentyl)azanium,242.46
152,16,CCCCC[N+](CC)(CCCC)CCCCC,118020801.0,butyl-ethyl-dipentylazanium,242.46
153,16,CCCCC[N+](CCC)(CCC)CCCCC,85717237.0,dipentyl(dipropyl)azanium,242.46
154,16,CCCCC[N+](CCC)(CCCC)CCCC,142514259.0,dibutyl-pentyl-propylazanium,242.46
155,16,CCCC[N+](CCCC)(CCCC)CCCC,16028.0,tetrabutylazanium,242.46
156,17,CCCCCCCCCCCCCC[N+](C)(C)C,14251.0,trimethyl(tetradecyl)azanium,256.5
157,17,CCCCCCCCCCCCC[N+](C)(C)CC,87744372.0,ethyl-dimethyl-tridecylazanium,256.5
158,17,CCCCCCCCCCCC[N+](C)(C)CCC,10786192.0,dodecyl-dimethyl-propylazanium,256.5
159,17,CCCCCCCCCCCC[N+](C)(CC)CC,14494908.0,dodecyl-diethyl-methylazanium,256.5
160,17,CCCCCCCCCCC[N+](C)(C)CCCC,122481735.0,butyl-dimethyl-undecylazanium,256.5
161,17,CCCCCCCCCCC[N+](C)(CC)CCC,158020210.0,ethyl-methyl-propyl-undecylazanium,256.5
162,17,CCCCCCCCCCC[N+](CC)(CC)CC,11701609.0,triethyl(undecyl)azanium,256.5
163,17,CCCCCCCCCC[N+](C)(C)CCCCC,122481312.0,decyl-dimethyl-pentylazanium,256.5
165,17,CCCCCCCCCC[N+](C)(CCC)CCC,127262909.0,decyl-methyl-dipropylazanium,256.5
166,17,CCCCCCCCCC[N+](CC)(CC)CCC,150914213.0,decyl-diethyl-propylazanium,256.5
167,17,CCCCCCCCC[N+](C)(C)CCCCCC,53961664.0,hexyl-dimethyl-nonylazanium,256.5
172,17,CCCCCCCC[N+](C)(C)CCCCCCC,53805370.0,heptyl-dimethyl-octylazanium,256.5
175,17,CCCCCCCC[N+](C)(CCCC)CCCC,127262900.0,dibutyl-methyl-octylazanium,256.5
178,17,CCCCCCCC[N+](CCC)(CCC)CCC,54170758.0,octyl(tripropyl)azanium,256.5
180,17,CCCCCCC[N+](C)(CCC)CCCCCC,54058603.0,heptyl-hexyl-methyl-propylazanium,256.5
185,17,CCCCCCC[N+](CCC)(CCC)CCCC,151952654.0,butyl-heptyl-dipropylazanium,256.5
186,17,CCCCCC[N+](C)(CCCC)CCCCCC,57010389.0,butyl-dihexyl-methylazanium,256.5
187,17,CCCCCC[N+](C)(CCCCC)CCCCC,53812961.0,hexyl-methyl-dipentylazanium,256.5
191,17,CCCCCC[N+](CCC)(CCCC)CCCC,151583097.0,dibutyl-hexyl-propylazanium,256.5
192,17,CCCCC[N+](CC)(CCCCC)CCCCC,14022639.0,ethyl(tripentyl)azanium,256.5
193,17,CCCCC[N+](CCC)(CCCC)CCCCC,54574573.0,butyl-dipentyl-propylazanium,256.5
194,17,CCCCC[N+](CCCC)(CCCC)CCCC,3528502.0,tributyl(pentyl)azanium,256.5
195,18,CCCCCCCCCCCCCCC[N+](C)(C)C,423584.0,trimethyl(pentadecyl)azanium,270.5
196,18,CCCCCCCCCCCCCC[N+](C)(C)CC,110474.0,ethyl-dimethyl-tetradecylazanium,270.5
197,18,CCCCCCCCCCCCC[N+](C)(C)CCC,159160365.0,dimethyl-propyl-tridecylazanium,270.5
199,18,CCCCCCCCCCCC[N+](C)(C)CCCC,407819.0,butyl-dodecyl-dimethylazanium,270.5
200,18,CCCCCCCCCCCC[N+](C)(CC)CCC,14494857.0,dodecyl-ethyl-methyl-propylazanium,270.5
201,18,CCCCCCCCCCCC[N+](CC)(CC)CC,28940.0,dodecyl(triethyl)azanium,270.5
202,18,CCCCCCCCCCC[N+](C)(C)CCCCC,122481535.0,dimethyl-pentyl-undecylazanium,270.5
205,18,CCCCCCCCCCC[N+](CC)(CC)CCC,87491732.0,diethyl-propyl-undecylazanium,270.5
206,18,CCCCCCCCCC[N+](C)(C)CCCCCC,19369139.0,decyl-hexyl-dimethylazanium,270.5
207,18,CCCCCCCCCC[N+](C)(CC)CCCCC,160997003.0,decyl-ethyl-methyl-pentylazanium,270.5
210,18,CCCCCCCCCC[N+](CC)(CCC)CCC,152402758.0,decyl-ethyl-dipropylazanium,270.5
211,18,CCCCCCCCC[N+](C)(C)CCCCCCC,122481686.0,heptyl-dimethyl-nonylazanium,270.5
215,18,CCCCCCCCC[N+](CC)(CC)CCCCC,22408859.0,diethyl-nonyl-pentylazanium,270.5
