序号,碳数,SMILES
132,11,CC[N+](CC)(CC)CCC(C)C
133,12,CC(C)CC[N+](C)(C(C)C)C(C)C
134,12,CC(C)CC[N+](C)(C)CCC(C)C
135,12,CC(C)C[N+](C)(C(C)C)C(C)(C)C
136,12,CC(C)C[N+](C)(CC(C)C)C(C)C
137,12,CC(C)[N+](C(C)C)(C(C)C)C(C)C
138,12,CC(C)[N+](C)(C(C)(C)C)C(C)(C)C
139,12,CCC(C)C[N+](C)(C(C)C)C(C)C
140,12,CCC(C)C[N+](C)(C)CC(C)CC
141,12,CCC(C)C[N+](C)(C)CCC(C)C
142,12,CCC(C)C[N+](C)(CC)C(C)(C)C
143,12,CCC(C)C[N+](C)(CC)CC(C)C
144,12,CCC(C)C[N+](CC)(CC)C(C)C
145,12,CCCC(C)[N+](C)(C(C)C)C(C)C
146,12,CCCC(C)[N+](C)(C)C(C)CCC
147,12,CCCC(C)[N+](C)(C)CC(C)CC
148,12,CCCC(C)[N+](C)(C)CCC(C)C
149,12,CCCC(C)[N+](C)(CC)C(C)(C)C
150,12,CCCC(C)[N+](C)(CC)CC(C)C
151,12,CCCC(C)[N+](C)(CCC)C(C)C
152,12,CCCC(C)[N+](C)(CCC)CCC
153,12,CCCC(C)[N+](CC)(CC)C(C)C
154,12,CCCC(C)[N+](CC)(CC)CCC
155,12,CCCCCCC[N+](C)(C)C(C)C
156,12,CCCCCCC[N+](C)(C)CCC
157,12,CCCCCCC[N+](C)(CC)CC
158,12,CCCCCC[N+](C)(C)C(C)(C)C
159,12,CCCCCC[N+](C)(C)CC(C)C
160,12,CCCCCC[N+](C)(C)CCCC
161,12,CCCCCC[N+](C)(CC)C(C)C
162,12,CCCCCC[N+](C)(CC)CCC
163,12,CCCCCC[N+](CC)(CC)CC
164,12,CCCCC[N+](C)(C(C)C)C(C)C
165,12,CCCCC[N+](C)(C)C(C)CCC
166,12,CCCCC[N+](C)(C)CC(C)CC
167,12,CCCCC[N+](C)(C)CCC(C)C
168,12,CCCCC[N+](C)(C)CCCCC
169,12,CCCCC[N+](C)(CC)C(C)(C)C
170,12,CCCCC[N+](C)(CC)CC(C)C
171,12,CCCCC[N+](C)(CC)CCCC
172,12,CCCCC[N+](C)(CCC)C(C)C
173,12,CCCCC[N+](C)(CCC)CCC
174,12,CCCCC[N+](CC)(CC)C(C)C
175,12,CCCCC[N+](CC)(CC)CCC
176,12,CCCC[N+](C)(C(C)C)C(C)(C)C
177,12,CCCC[N+](C)(CC(C)C)C(C)C
178,12,CCCC[N+](C)(CC)C(C)CCC
179,12,CCCC[N+](C)(CC)CC(C)CC
180,12,CCCC[N+](C)(CC)CCC(C)C
